level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	4710	3240	-1	
2	1	1	0	0	0	1344	122	1923	110	-1	
3	1	1	1	0	0	1344	122	1923	110	-1	
4	1	1	1	1	0	1344	122	1923	110	-1	
5	1	1	1	1	1	1344	122	1923	110	0.000000	BORDEAUXWINEREGIONS
2	1	2	0	0	0	1766	1810	297	116	-1	
3	1	2	1	0	0	1766	1810	297	116	-1	
4	1	2	1	1	0	1766	1810	297	116	-1	
5	1	2	1	1	1	1766	1810	297	116	0.000000	M
2	1	3	0	0	0	2757	2510	167	106	-1	
3	1	3	1	0	0	2757	2510	167	106	-1	
4	1	3	1	1	0	2757	2510	167	106	-1	
5	1	3	1	1	1	2757	2510	167	106	0.000000	OM
2	1	4	0	0	0	3461	3098	1037	51	-1	
3	1	4	1	0	0	3461	3098	1037	51	-1	
4	1	4	1	1	0	3461	3098	1037	51	-1	
5	1	4	1	1	1	3461	3098	1037	51	0.000000	GBORDEAUXWINEVACATIONS
